"id_vente","date_vente","magasin_code","magasin_nom","categorie_produit","produit_nom","mode_paiement","quantite","prix_unitaire","cout_unitaire","remise_pct","client_type","vendeur_id"
15,"2024-02-08","KIN","Kawa Market – Kintambo","CAFÉ & THÉ","Café Arabica 250g","carte",1,"7.88","6.13",0,"Corporate","V027"
16,"13/07/2024","MAT","Kawa Market – Matete","EPICERIE","Sucre 1kg","Momo",12,"9.66","7.71",10,"","V010"
17,"1 février 2024","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café Arabica 250g","Carte",9,"7.68","5.06",0,"Particulier","V012"
18,"18/10/2024","KIN","Kawa Market – Kintambo","HYGIENE","Savon de toilette","Carte bancaire",7,"2.80","1.87",0,"","V014"
19,"2024-11-26","MAT","Kawa Market – Matete","EPICERIE","Riz 5kg","CASH",10,"9.99","7.98",0,"Corporate","V033"
20,"2024-07-08","LIM","Kawa Market – Limete","FRAIS","Fromage local 200g","Carte",10,"2.96","2.20",10,"Particulier","V036"
21,"29/02/2024","NGA","Kawa Market – Ngaliema","HYGIENE","Savon de toilette","Momo",10,"1.24","0.75",NULL,"","V033"
22,"2024-08-04","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Thé noir sachets","cash",5,"4.65","2.94",NULL,"","V036"
23,"06/10/2024","MAS","Kawa Market – Masina","HYGIENE","Papier hygiénique 4 rouleaux","CASH",3,"0.65","0.40",0,"","V014"
24,"27 juillet 2024","NGA","Kawa Market – Ngaliema","BOISSONS","Soda 50cl","Cash",7,"0.54","0.39",0,"","V016"
25,"28/08/2024","LIM","Kawa Market – Limete","FRAIS","Lait frais 1L","Mobile Money",4,"0.46","0.26",0,"","V005"
26,"2024-10-01","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Thé noir sachets","cash",5,"4.15","2.82",0,"","V028"
27,"10/05/2024","NGA","Kawa Market – Ngaliema","FRAIS","Yaourt 125g","carte",11,"2.27","1.64",NULL,"Corporate","V024"
28,"05/12/2024","NGA","Kawa Market – Ngaliema","EPICERIE","Huile végétale 1L","Carte",6,"5.22","3.07",0,"Corporate","V027"
29,"2024-10-18","MAT","Kawa Market – Matete","HYGIENE","Savon de toilette","Momo",4,"2.00","1.35",NULL,"","V030"
30,"27 mars 2024","GOM","Kawa Market – Gombe","EPICERIE","Huile végétale 1L","Cash",11,"4.48","3.32",0,"Particulier","V003"
31,"31 juillet 2024","KIN","Kawa Market – Kintambo","BOISSONS","Boisson énergisante 33cl","Momo",4,"0.72","0.51",0,"","V015"
32,"07/05/2024","MAT","Kawa Market – Matete","BOISSONS","Boisson énergisante 33cl","carte",9,"1.39","1.09",5,"","V036"
33,"6 mai 2024","MAS","Kawa Market – Masina","HYGIENE","Dentifrice 100ml","Carte bancaire",5,"2.04","1.46",0,"","V022"
34,"21/12/2024","NGA","Kawa Market – Ngaliema","BOISSONS","Eau 1,5L","Momo",6,"1.31","0.82",0,"","V025"
35,"2024-10-21","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé noir sachets","Momo",7,"6.15","4.43",10,"Corporate","V032"
36,"2024-12-13","NGA","Kawa Market – Ngaliema","BOISSONS","Boisson énergisante 33cl","cash",9,"0.54","0.33",10,"Particulier","V006"
37,"2024-07-13","LIM","Kawa Market – Limete","FRAIS","Lait frais 1L","Momo",5,"2.36","1.77",0,"Particulier","V031"
38,"28/11/2024","NGA","Kawa Market – Ngaliema","CAFÉ & THÉ","Café Arabica 250g","Cash",1,"6.49","3.71",5,"Particulier","V037"
39,"6 novembre 2024","NGA","Kawa Market – Ngaliema","AUTRES","Pile AA (pack 4)","CASH",2,"1.95","1.52",10,"","V026"
40,"04/05/2024","NGA","Kawa Market – Ngaliema","EPICERIE","Riz 5kg","Carte bancaire",6,"6.26","4.37",0,"","V001"
41,"2024-11-21","NGA","Kawa Market – Ngaliema","BOISSONS","Boisson énergisante 33cl","cash",9,"1.95","1.13",10,"","V030"
42,"2024-02-14","MAT","Kawa Market – Matete","BOISSONS","Boisson énergisante 33cl","carte",11,"1.07","0.54",0,"Corporate","V032"
43,"2024-12-25","KIN","Kawa Market – Kintambo","CAFÉ & THÉ","Café moulu 500g","Cash",12,"5.63","3.75",0,"","V032"
44,"2024-05-04","NGA","Kawa Market – Ngaliema","HYGIENE","Dentifrice 100ml","mobile money",9,"1.70","1.36",10,"","V023"
45,"2024-04-08","GOM","Kawa Market – Gombe","AUTRES","Pile AA (pack 4)","Cash",12,"1.71","1.23",10,"","V007"
46,"28 décembre 2024","LIM","Kawa Market – Limete","EPICERIE","Riz 5kg","cash",5,"7.58","4.08",5,"Particulier","V001"
47,"2024-01-27","MAT","Kawa Market – Matete","CAFÉ & THÉ","Café Arabica 250g","Momo",2,"6.31","4.45",0,"Corporate","V037"
48,"1 août 2024","KIN","Kawa Market – Kintambo","HYGIENE","Savon de toilette","Carte",8,"3.68","2.17",10,"","V020"
49,"16 avril 2024","LIM","Kawa Market – Limete","EPICERIE","Riz 5kg","Cash",3,"6.42","3.51",5,"","V039"
50,"20/08/2024","NGA","Kawa Market – Ngaliema","BOISSONS","Jus naturel 1L","carte",11,"1.71","0.96",0,"Corporate","V010"
51,"6 juin 2024","NGA","Kawa Market – Ngaliema","HYGIENE","Dentifrice 100ml","Mobile Money",8,"2.91","2.07",0,"","V029"
52,"08/05/2024","GOM","Kawa Market – Gombe","BOISSONS","Eau 1,5L","Carte",10,"0.56","0.41",5,"","V018"
53,"2024-02-16","MAS","Kawa Market – Masina","FRAIS","Lait frais 1L","mobile money",2,"2.63","1.58",NULL,"","V019"
54,"2024-02-15","MAS","Kawa Market – Masina","EPICERIE","Riz 5kg","mobile money",1,"7.26","4.81",5,"Particulier","V013"
55,"27/01/2024","MAS","Kawa Market – Masina","HYGIENE","Savon de toilette","Momo",12,"2.20","1.12",NULL,"Corporate","V011"
56,"2024-02-28","GOM","Kawa Market – Gombe","AUTRES","Pile AA (pack 4)","mobile money",5,"1.77","1.03",5,"","V016"
57,"10/03/2024","MAS","Kawa Market – Masina","FRAIS","Lait frais 1L","Carte",1,"1.14","0.67",10,"","V010"
58,"2024-07-12","MAS","Kawa Market – Masina","BOISSONS","Soda 50cl","Carte",4,"1.78","1.11",0,"","V025"
59,"10/09/2024","LIM","Kawa Market – Limete","HYGIENE","Papier hygiénique 4 rouleaux","Mobile Money",8,"0.85","0.66",0,"Corporate","V027"
60,"2024-05-15","KIN","Kawa Market – Kintambo","AUTRES","Sac réutilisable","Carte bancaire",6,"2.63","1.99",5,"","V032"
61,"27/05/2024","NGA","Kawa Market – Ngaliema","CAFÉ & THÉ","Thé citron 25 sachets","cash",12,"7.49","4.74",NULL,"","V002"
62,"15/03/2024","KIN","Kawa Market – Kintambo","FRAIS","Fromage local 200g","Carte bancaire",3,"0.86","0.59",5,"Corporate","V032"
63,"10 mai 2024","GOM","Kawa Market – Gombe","FRAIS","Lait frais 1L","carte",3,"0.59","0.46",10,"","V028"
64,"04/09/2024","LIM","Kawa Market – Limete","FRAIS","Fromage local 200g","mobile money",5,"2.98","1.75",NULL,"","V018"
65,"6 novembre 2024","MAT","Kawa Market – Matete","EPICERIE","Haricots 1kg","Carte",4,"7.09","4.87",NULL,"Corporate","V007"
66,"2024-10-23","NGA","Kawa Market – Ngaliema","BOISSONS","Eau 1,5L","Momo",12,"1.12","0.63",10,"","V034"
67,"2024-09-03","NGA","Kawa Market – Ngaliema","EPICERIE","Riz 5kg","",3,"8.03","4.56",NULL,"","V036"
68,"2024-08-20","NGA","Kawa Market – Ngaliema","AUTRES","Sac réutilisable","Carte",11,"2.85","1.52",0,"","V002"
69,"27/11/2024","NGA","Kawa Market – Ngaliema","FRAIS","Fromage local 200g","mobile money",7,"0.70","0.36",0,"","V032"
70,"8 juillet 2024","NGA","Kawa Market – Ngaliema","AUTRES","Sac réutilisable","carte",12,"0.89","0.56",0,"","V040"
71,"2024-08-15","LIM","Kawa Market – Limete","EPICERIE","Riz 5kg","Carte",9,"9.21","6.39",0,"","V018"
72,"05/12/2024","NGA","Kawa Market – Ngaliema","AUTRES","Pile AA (pack 4)","CASH",4,"2.97","2.19",0,"Particulier","V036"
73,"16 mars 2024","GOM","Kawa Market – Gombe","EPICERIE","Haricots 1kg","cash",5,"8.39","4.47",0,"","V001"
74,"15/05/2024","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","Carte bancaire",12,"0.66","0.42",0,"Particulier","V029"
75,"3 décembre 2024","MAS","Kawa Market – Masina","FRAIS","Fromage local 200g","Cash",8,"2.60","1.63",0,"","V029"
76,"20 mai 2024","NGA","Kawa Market – Ngaliema","HYGIENE","Papier hygiénique 4 rouleaux","Carte",7,"3.98","2.62",5,"","V007"
77,"9 octobre 2024","LIM","Kawa Market – Limete","FRAIS","Lait frais 1L","CASH",6,"2.55","1.58",NULL,"Particulier","V021"
78,"30/08/2024","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Café Arabica 250g","Mobile Money",12,"6.96","5.17",10,"Particulier","V038"
79,"2024-12-06","NGA","Kawa Market – Ngaliema","CAFÉ & THÉ","Thé noir sachets","Carte",6,"4.41","2.88",0,"","V015"
80,"22 mai 2024","LIM","Kawa Market – Limete","FRAIS","Fromage local 200g","carte",11,"2.07","1.05",NULL,"","V002"
81,"04/01/2024","LIM","Kawa Market – Limete","HYGIENE","Papier hygiénique 4 rouleaux","Mobile Money",3,"3.09","2.45",0,"Corporate","V025"
82,"17 octobre 2024","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Café moulu 500g","cash",1,"6.70","3.90",NULL,"","V032"
83,"2024-06-25","GOM","Kawa Market – Gombe","EPICERIE","Sucre 1kg","carte",5,"2.36","1.46",10,"Particulier","V001"
84,"2024-05-28","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Thé citron 25 sachets","Carte",3,"4.52","2.98",0,"","V005"
85,"2024-02-09","KIN","Kawa Market – Kintambo","FRAIS","Fromage local 200g","mobile money",11,"1.49","0.80",0,"","V011"
86,"2024-02-15","GOM","Kawa Market – Gombe","BOISSONS","Boisson énergisante 33cl","Carte",9,"0.62","0.47",NULL,"","V015"
87,"18/09/2024","MAS","Kawa Market – Masina","EPICERIE","Haricots 1kg","Cash",3,"4.05","2.24",0,"Particulier","V012"
88,"2024-10-23","NGA","Kawa Market – Ngaliema","HYGIENE","Papier hygiénique 4 rouleaux","carte",6,"3.52","2.42",0,"","V005"
89,"29 juin 2024","GOM","Kawa Market – Gombe","EPICERIE","Sucre 1kg","Mobile Money",1,"4.95","2.90",NULL,"Particulier","V040"
90,"2024-01-22","KIN","Kawa Market – Kintambo","AUTRES","Pile AA (pack 4)","mobile money",8,"1.75","1.38",5,"","V022"
91,"2024-12-28","MAT","Kawa Market – Matete","HYGIENE","Papier hygiénique 4 rouleaux","Carte bancaire",6,"1.80","1.05",5,"","V039"
92,"12 octobre 2024","MAT","Kawa Market – Matete","EPICERIE","Huile végétale 1L","carte",10,"8.99","5.39",10,"Corporate","V023"
93,"28/12/2024","MAS","Kawa Market – Masina","HYGIENE","Dentifrice 100ml","Carte",3,"2.85","2.13",NULL,"Particulier","V028"
94,"2024-06-23","LIM","Kawa Market – Limete","BOISSONS","Soda 50cl","Cash",5,"1.77","0.94",10,"Particulier","V022"
95,"2 avril 2024","KIN","Kawa Market – Kintambo","BOISSONS","Boisson énergisante 33cl","CASH",6,"1.51","0.86",5,"","V029"
96,"2024-04-09","NGA","Kawa Market – Ngaliema","HYGIENE","Dentifrice 100ml","Momo",7,"2.26","1.41",0,"Corporate","V039"
97,"10/10/2024","NGA","Kawa Market – Ngaliema","HYGIENE","Savon de toilette","Mobile Money",3,"1.45","1.12",0,"","V006"
98,"2024-01-14","GOM","Kawa Market – Gombe","FRAIS","Fromage local 200g","Mobile Money",7,"2.99","1.83",0,"","V007"
99,"2024-05-26","NGA","Kawa Market – Ngaliema","BOISSONS","Boisson énergisante 33cl","mobile money",1,"1.86","0.94",0,"Corporate","V036"
100,"2024-05-01","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Café moulu 500g","mobile money",10,"5.83","3.11",5,"","V033"
101,"29/06/2024","KIN","Kawa Market – Kintambo","FRAIS","Yaourt 125g","carte",2,"1.76","1.07",10,"Particulier","V025"
102,"2024-01-09","GOM","Kawa Market – Gombe","EPICERIE","Haricots 1kg","carte",11,"2.83","1.91",0,"Corporate","V003"
103,"2024-12-16","NGA","Kawa Market – Ngaliema","FRAIS","Fromage local 200g","Cash",2,"2.26","1.77",0,"","V013"
104,"2024-09-20","KIN","Kawa Market – Kintambo","FRAIS","Lait frais 1L","cash",4,"1.14","0.86",0,"","V018"
105,"2024-07-16","LIM","Kawa Market – Limete","FRAIS","Fromage local 200g","Momo",9,"1.09","0.57",5,"Particulier","V028"
106,"2024-02-10","NGA","Kawa Market – Ngaliema","EPICERIE","Huile végétale 1L","mobile money",12,"5.41","3.82",0,"","V003"
107,"23/11/2024","GOM","Kawa Market – Gombe","AUTRES","Sac réutilisable","mobile money",12,"2.20","1.73",0,"","V003"
108,"17/10/2024","KIN","Kawa Market – Kintambo","BOISSONS","Boisson énergisante 33cl","Momo",8,"1.64","1.10",10,"","V026"
109,"2024-04-05","KIN","Kawa Market – Kintambo","FRAIS","Fromage local 200g","CASH",5,"2.23","1.26",10,"","V032"
110,"2024-12-31","GOM","Kawa Market – Gombe","AUTRES","Sac réutilisable","Carte",12,"0.66","0.44",0,"Corporate","V012"
111,"12/03/2024","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé noir sachets","carte",6,"5.87","4.67",0,"Particulier","V005"
112,"28 juillet 2024","GOM","Kawa Market – Gombe","BOISSONS","Jus naturel 1L","Carte bancaire",8,"1.20","0.79",0,"Corporate","V009"
113,"2024-03-19","LIM","Kawa Market – Limete","BOISSONS","Jus naturel 1L","Carte bancaire",6,"1.92","1.26",0,"Particulier","V017"
114,"10 novembre 2024","GOM","Kawa Market – Gombe","HYGIENE","Papier hygiénique 4 rouleaux","cash",10,"1.04","0.73",NULL,"","V037"
115,"2024-10-22","NGA","Kawa Market – Ngaliema","BOISSONS","Boisson énergisante 33cl","carte",1,"1.25","0.86",0,"","V031"
116,"18/12/2024","LIM","Kawa Market – Limete","FRAIS","Lait frais 1L","Momo",4,"1.28","0.70",NULL,"","V023"
117,"12/06/2024","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé noir sachets","Mobile Money",3,"4.39","2.58",5,"","V016"
118,"09/06/2024","LIM","Kawa Market – Limete","FRAIS","Fromage local 200g","Momo",5,"1.69","0.89",5,"","V016"
119,"30 novembre 2024","MAT","Kawa Market – Matete","EPICERIE","Riz 5kg","CASH",3,"9.06","6.51",5,"","V003"
120,"2024-02-07","KIN","Kawa Market – Kintambo","FRAIS","Fromage local 200g","mobile money",11,"1.99","1.07",0,"","V024"
121,"11 avril 2024","KIN","Kawa Market – Kintambo","FRAIS","Fromage local 200g","Cash",1,"0.76","0.46",5,"","V010"
122,"2024-03-24","KIN","Kawa Market – Kintambo","AUTRES","Sac réutilisable","Carte",9,"2.57","1.70",NULL,"","V031"
123,"2024-10-25","NGA","Kawa Market – Ngaliema","AUTRES","Pile AA (pack 4)","Carte",5,"2.92","2.15",10,"Corporate","V004"
124,"13/07/2024","NGA","Kawa Market – Ngaliema","BOISSONS","Eau 1,5L","carte",2,"0.79","0.50",5,"Corporate","V027"
125,"1 février 2024","LIM","Kawa Market – Limete","HYGIENE","Savon de toilette","Carte",11,"2.17","1.33",0,"","V035"
126,"25 novembre 2024","MAS","Kawa Market – Masina","HYGIENE","Dentifrice 100ml","Cash",5,"2.45","1.39",0,"","V014"
127,"2024-05-20","GOM","Kawa Market – Gombe","HYGIENE","Papier hygiénique 4 rouleaux","Carte",7,"3.36","2.64",0,"","V003"
128,"11 mai 2024","MAT","Kawa Market – Matete","BOISSONS","Soda 50cl","Carte",9,"1.54","0.83",10,"Corporate","V016"
129,"2024-02-21","MAS","Kawa Market – Masina","AUTRES","Sac réutilisable","cash",3,"0.51","0.34",0,"","V031"
130,"26/11/2024","GOM","Kawa Market – Gombe","AUTRES","Pile AA (pack 4)","carte",12,"2.63","1.34",0,"","V012"
131,"5 avril 2024","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café Arabica 250g","mobile money",10,"4.43","3.52",0,"","V035"
132,"19/05/2024","GOM","Kawa Market – Gombe","EPICERIE","Haricots 1kg","Carte",11,"4.06","2.26",NULL,"","V019"
133,"2024-07-26","KIN","Kawa Market – Kintambo","EPICERIE","Riz 5kg","mobile money",2,"3.48","1.89",0,"Corporate","V001"
134,"3 juin 2024","NGA","Kawa Market – Ngaliema","HYGIENE","Savon de toilette","mobile money",6,"2.92","1.51",0,"","V020"
135,"8 juin 2024","GOM","Kawa Market – Gombe","AUTRES","Sac réutilisable","mobile money",4,"1.05","0.57",0,"","V039"
136,"06/12/2024","LIM","Kawa Market – Limete","AUTRES","Pile AA (pack 4)","Carte",9,"2.26","1.18",10,"Particulier","V004"
137,"2024-03-25","KIN","Kawa Market – Kintambo","FRAIS","Yaourt 125g","Carte bancaire",12,"1.92","1.01",10,"","V004"
138,"24 août 2024","MAS","Kawa Market – Masina","AUTRES","Pile AA (pack 4)","Momo",1,"2.36","1.59",0,"","V023"
139,"29/08/2024","MAS","Kawa Market – Masina","FRAIS","Yaourt 125g","cash",12,"2.08","1.30",5,"","V025"
140,"2024-11-30","GOM","Kawa Market – Gombe","BOISSONS","Boisson énergisante 33cl","Carte bancaire",12,"1.97","1.48",0,"","V030"
141,"2024-05-06","MAS","Kawa Market – Masina","BOISSONS","Jus naturel 1L","cash",2,"0.55","0.38",10,"Particulier","V016"
142,"26/12/2024","LIM","Kawa Market – Limete","AUTRES","Pile AA (pack 4)","Momo",4,"1.85","1.34",0,"Corporate","V033"
143,"22 octobre 2024","NGA","Kawa Market – Ngaliema","EPICERIE","Haricots 1kg","Mobile Money",11,"6.17","3.85",0,"Particulier","V036"
144,"6 août 2024","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé noir sachets","carte",7,"7.14","4.25",5,"","V010"
145,"2024-04-25","NGA","Kawa Market – Ngaliema","BOISSONS","Boisson énergisante 33cl","cash",7,"1.95","1.30",0,"","V016"
146,"08/07/2024","KIN","Kawa Market – Kintambo","AUTRES","Pile AA (pack 4)","CASH",7,"2.18","1.48",0,"Corporate","V038"
147,"2024-06-19","GOM","Kawa Market – Gombe","BOISSONS","Soda 50cl","Carte bancaire",12,"2.00","1.29",0,"Corporate","V026"
148,"30 septembre 2024","MAS","Kawa Market – Masina","EPICERIE","Huile végétale 1L","mobile money",8,"5.73","4.25",NULL,"","V021"
149,"23 avril 2024","LIM","Kawa Market – Limete","CAFÉ & THÉ","Thé noir sachets","carte",10,"6.88","4.05",0,"","V015"
150,"2024-12-16","MAS","Kawa Market – Masina","FRAIS","Fromage local 200g","carte",8,"1.60","1.15",0,"Corporate","V009"
151,"24/11/2024","KIN","Kawa Market – Kintambo","CAFÉ & THÉ","Café Arabica 250g","Carte bancaire",1,"5.65","4.25",0,"Particulier","V010"
152,"7 décembre 2024","MAT","Kawa Market – Matete","AUTRES","Sac réutilisable","Cash",9,"1.88","0.95",10,"","V035"
153,"01/04/2024","GOM","Kawa Market – Gombe","HYGIENE","Savon de toilette","Cash",10,"2.34","1.74",0,"","V006"
154,"2024-04-25","NGA","Kawa Market – Ngaliema","CAFÉ & THÉ","Café Arabica 250g","CASH",7,"5.51","3.54",NULL,"Particulier","V011"
155,"18 février 2024","GOM","Kawa Market – Gombe","BOISSONS","Soda 50cl","carte",8,"0.91","0.71",NULL,"","V035"
156,"16 avril 2024","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","CASH",3,"1.91","1.28",5,"","V025"
157,"13 septembre 2024","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café Arabica 250g","Mobile Money",2,"5.36","3.92",10,"","V021"
158,"1 juillet 2024","MAT","Kawa Market – Matete","FRAIS","Yaourt 125g","carte",11,"1.39","1.02",0,"Corporate","V005"
159,"2024-07-18","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café Arabica 250g","CASH",8,"5.44","3.16",0,"Particulier","V012"
160,"2024-02-15","KIN","Kawa Market – Kintambo","CAFÉ & THÉ","Thé noir sachets","Mobile Money",5,"5.66","4.15",NULL,"Corporate","V037"
161,"2024-05-17","LIM","Kawa Market – Limete","CAFÉ & THÉ","Café moulu 500g","Momo",7,"5.20","3.82",0,"","V016"
162,"2024-03-10","GOM","Kawa Market – Gombe","FRAIS","Lait frais 1L","Carte",6,"1.54","0.97",NULL,"Corporate","V020"
163,"2024-07-22","MAS","Kawa Market – Masina","AUTRES","Sac réutilisable","Carte bancaire",6,"1.44","1.07",5,"","V008"
164,"08/10/2024","NGA","Kawa Market – Ngaliema","FRAIS","Fromage local 200g","CASH",5,"2.56","1.33",5,"","V009"
165,"12/07/2024","MAT","Kawa Market – Matete","HYGIENE","Dentifrice 100ml","Carte",9,"2.27","1.76",NULL,"","V035"
166,"31 octobre 2024","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Café moulu 500g","",6,"4.67","3.19",10,"","V022"
167,"18 septembre 2024","KIN","Kawa Market – Kintambo","HYGIENE","Papier hygiénique 4 rouleaux","carte",4,"2.06","1.27",NULL,"Corporate","V023"
168,"13/02/2024","NGA","Kawa Market – Ngaliema","BOISSONS","Jus naturel 1L","Momo",8,"1.68","1.10",0,"","V007"
169,"29/12/2024","GOM","Kawa Market – Gombe","EPICERIE","Riz 5kg","Carte bancaire",12,"3.95","2.18",0,"","V036"
170,"5 avril 2024","NGA","Kawa Market – Ngaliema","FRAIS","Lait frais 1L","cash",10,"2.70","1.71",5,"","V001"
171,"2 février 2024","GOM","Kawa Market – Gombe","HYGIENE","Savon de toilette","Momo",4,"2.10","1.22",5,"","V039"
172,"22 août 2024","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","carte",2,"2.18","1.29",0,"","V008"
173,"11 mars 2024","MAT","Kawa Market – Matete","FRAIS","Yaourt 125g","mobile money",9,"2.20","1.53",0,"Corporate","V032"
174,"02/07/2024","MAT","Kawa Market – Matete","BOISSONS","Soda 50cl","mobile money",9,"1.48","0.92",5,"","V029"
175,"29/05/2024","MAS","Kawa Market – Masina","BOISSONS","Jus naturel 1L","CASH",10,"1.61","1.17",10,"Particulier","V037"
176,"22 janvier 2024","MAT","Kawa Market – Matete","HYGIENE","Savon de toilette","Mobile Money",12,"3.41","2.47",0,"Particulier","V029"
177,"01/03/2024","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","carte",11,"1.57","1.08",0,"Corporate","V004"
178,"2024-12-26","MAS","Kawa Market – Masina","HYGIENE","Dentifrice 100ml","carte",2,"0.97","0.70",5,"Particulier","V018"
179,"2024-12-30","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","Mobile Money",10,"2.08","1.43",5,"","V005"
180,"22 mai 2024","MAS","Kawa Market – Masina","FRAIS","Lait frais 1L","mobile money",1,"2.66","2.01",0,"","V023"
181,"2024-04-18","MAS","Kawa Market – Masina","EPICERIE","Huile végétale 1L","mobile money",10,"3.04","2.30",0,"Particulier","V003"
182,"2024-03-21","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé citron 25 sachets","cash",3,"7.53","4.45",0,"Particulier","V024"
183,"21 juillet 2024","MAS","Kawa Market – Masina","AUTRES","Pile AA (pack 4)","mobile money",2,"2.26","1.13",5,"","V009"
184,"24/06/2024","MAT","Kawa Market – Matete","AUTRES","Pile AA (pack 4)","Mobile Money",4,"1.46","1.05",0,"Particulier","V021"
185,"9 mars 2024","NGA","Kawa Market – Ngaliema","BOISSONS","Eau 1,5L","carte",1,"1.42","0.78",0,"Corporate","V010"
186,"21/02/2024","GOM","Kawa Market – Gombe","HYGIENE","Papier hygiénique 4 rouleaux","Momo",7,"1.60","0.87",0,"Particulier","V016"
187,"19/12/2024","NGA","Kawa Market – Ngaliema","EPICERIE","Haricots 1kg","carte",9,"3.51","2.17",NULL,"Particulier","V016"
188,"27/09/2024","MAS","Kawa Market – Masina","EPICERIE","Haricots 1kg","mobile money",7,"4.92","3.47",5,"Particulier","V002"
189,"22 juillet 2024","MAS","Kawa Market – Masina","AUTRES","Sac réutilisable","mobile money",7,"0.71","0.47",10,"Corporate","V018"
190,"20 mars 2024","MAS","Kawa Market – Masina","FRAIS","Fromage local 200g","carte",11,"2.07","1.23",5,"Corporate","V004"
191,"2024-01-29","NGA","Kawa Market – Ngaliema","AUTRES","Pile AA (pack 4)","Cash",12,"0.84","0.42",5,"","V034"
192,"17 mai 2024","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Thé noir sachets","Momo",9,"4.26","3.04",10,"Particulier","V032"
193,"07/07/2024","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café Arabica 250g","cash",9,"4.01","3.04",0,"Corporate","V003"
194,"19 janvier 2024","NGA","Kawa Market – Ngaliema","AUTRES","Sac réutilisable","CASH",4,"1.54","1.10",0,"Particulier","V037"
195,"21/09/2024","MAT","Kawa Market – Matete","CAFÉ & THÉ","Thé citron 25 sachets","Momo",6,"4.35","2.77",0,"Corporate","V019"
196,"2024-10-29","LIM","Kawa Market – Limete","AUTRES","Pile AA (pack 4)","Cash",7,"0.00","0.37",NULL,"Particulier","V022"
197,"23/02/2024","KIN","Kawa Market – Kintambo","BOISSONS","Boisson énergisante 33cl","Mobile Money",3,"1.57","0.83",0,"","V024"
198,"2024-11-22","GOM","Kawa Market – Gombe","HYGIENE","Papier hygiénique 4 rouleaux","CASH",11,"3.87","2.21",0,"","V026"
199,"08/02/2024","LIM","Kawa Market – Limete","HYGIENE","Savon de toilette","Cash",3,"2.07","1.23",0,"","V014"
