id_transaction,date_vente,code_magasin,nom_magasin,categorie,nom_produit,mode_paiement,quantite,prix_unitaire,cout_unitaire,reduction,type_client,code_vendeur,ca,marge_brute
3119,2024-01-01,MAS,Kawa Market – Masina,BOISSONS,Jus naturel 1L,Mobile Money,11,1.84,1.13,0,Corporate,V026,20.240000000000002,7.810000000000002
7287,2024-01-01,MAS,Kawa Market – Masina,HYGIENE,Savon de toilette,Mobile Money,3,3.61,2.84,5,Particulier,V012,10.83,2.31
3952,2024-01-01,MAT,Kawa Market – Matete,FRAIS,Yaourt 125g,Cash,9,2.69,1.61,0,Corporate,V038,24.21,9.719999999999999
5623,2024-01-01,MAT,Kawa Market – Matete,EPICERIE,Huile végétale 1L,Cash,4,6.2,4.72,0,Particulier,V001,24.8,5.920000000000002
5183,2024-01-01,NGA,Kawa Market – Ngaliema,BOISSONS,Soda 50cl,Mobile Money,10,1.03,0.81,10,,V027,10.3,2.1999999999999997
6634,2024-01-01,LIM,Kawa Market – Limete,AUTRES,Pile AA (pack 4),Cash,12,2.46,1.31,10,,V015,29.52,13.799999999999999
3513,2024-01-01,MAS,Kawa Market – Masina,HYGIENE,Dentifrice 100ml,Cash,5,1.34,1.02,5,,V038,6.7,1.6000000000000003
935,2024-01-01,MAT,Kawa Market – Matete,FRAIS,Fromage local 200g,Carte,2,0.54,0.3,0,,V024,1.08,0.4800000000000001
767,2024-01-01,GOM,Kawa Market – Gombe,CAFÉ & THÉ,Café moulu 500g,Carte,7,6.66,3.98,10,Particulier,V016,46.620000000000005,18.76
2507,2024-01-01,LIM,Kawa Market – Limete,EPICERIE,Haricots 1kg,Carte,5,8.94,4.72,10,,V018,44.699999999999996,21.099999999999998
6958,2024-01-01,MAS,Kawa Market – Masina,CAFÉ & THÉ,Thé citron 25 sachets,Carte,11,7.52,5.49,0,,V022,82.72,22.32999999999999
3600,2024-01-01,NGA,Kawa Market – Ngaliema,CAFÉ & THÉ,Thé noir sachets,Cash,7,6.46,3.98,10,,V025,45.22,17.36
2550,2024-01-01,GOM,Kawa Market – Gombe,BOISSONS,Boisson énergisante 33cl,Carte,12,1.53,0.81,5,Corporate,V021,18.36,8.64
6925,2024-01-01,NGA,Kawa Market – Ngaliema,EPICERIE,Riz 5kg,Mobile Money,10,2.9,3.96,0,Corporate,V028,29.0,-10.600000000000001
7547,2024-01-02,KIN,Kawa Market – Kintambo,HYGIENE,Dentifrice 100ml,Carte,5,2.98,2.01,5,,V014,14.9,4.850000000000001
3917,2024-01-02,KIN,Kawa Market – Kintambo,EPICERIE,Sucre 1kg,Carte,5,5.65,3.95,10,Corporate,V038,28.25,8.5
3956,2024-01-02,GOM,Kawa Market – Gombe,BOISSONS,Boisson énergisante 33cl,Mobile Money,10,1.77,1.15,0,,V007,17.7,6.200000000000001
4574,2024-01-02,GOM,Kawa Market – Gombe,FRAIS,Fromage local 200g,Cash,8,0.57,0.39,0,Corporate,V039,4.56,1.4399999999999995
6064,2024-01-02,MAS,Kawa Market – Masina,FRAIS,Fromage local 200g,Carte,7,2.8,2.17,5,Corporate,V034,19.599999999999998,4.409999999999999
775,2024-01-02,MAS,Kawa Market – Masina,HYGIENE,Dentifrice 100ml,Cash,8,2.49,1.77,10,,V006,19.92,5.760000000000002
3265,2024-01-02,LIM,Kawa Market – Limete,FRAIS,Lait frais 1L,Autre,8,2.01,1.03,,Particulier,V020,16.08,7.839999999999998
2392,2024-01-02,NGA,Kawa Market – Ngaliema,BOISSONS,Soda 50cl,Cash,7,0.82,0.53,0,Corporate,V002,5.739999999999999,2.0299999999999994
7327,2024-01-02,KIN,Kawa Market – Kintambo,CAFÉ & THÉ,Café Arabica 250g,Carte,10,6.61,3.85,10,,V032,66.10000000000001,27.6
2977,2024-01-02,LIM,Kawa Market – Limete,FRAIS,Yaourt 125g,Carte,9,1.56,1.02,0,Particulier,V038,14.040000000000001,4.86
6723,2024-01-02,KIN,Kawa Market – Kintambo,AUTRES,Sac réutilisable,Mobile Money,3,2.3,1.74,,Particulier,V040,6.8999999999999995,1.6799999999999995
2783,2024-01-02,LIM,Kawa Market – Limete,EPICERIE,Huile végétale 1L,Cash,1,4.96,2.69,10,,V005,4.96,2.27
7209,2024-01-02,LIM,Kawa Market – Limete,FRAIS,Yaourt 125g,Cash,4,1.06,0.62,5,Corporate,V037,4.24,1.7600000000000002
922,2024-01-02,MAS,Kawa Market – Masina,HYGIENE,Dentifrice 100ml,Carte,5,3.85,2.48,0,Corporate,V013,19.25,6.8500000000000005
4280,2024-01-02,LIM,Kawa Market – Limete,EPICERIE,Huile végétale 1L,Carte,4,6.59,4.12,,Particulier,V019,26.36,9.879999999999999
243,2024-01-02,NGA,Kawa Market – Ngaliema,CAFÉ & THÉ,Café Arabica 250g,Carte,8,4.6,2.42,10,Particulier,V007,36.8,17.439999999999998
1603,2024-01-03,MAS,Kawa Market – Masina,HYGIENE,Papier hygiénique 4 rouleaux,Mobile Money,9,3.66,1.85,0,,V018,32.94,16.29
5371,2024-01-03,KIN,Kawa Market – Kintambo,EPICERIE,Sucre 1kg,Carte,12,2.87,2.29,,,V018,34.44,6.960000000000001
1709,2024-01-03,KIN,Kawa Market – Kintambo,CAFÉ & THÉ,Café Arabica 250g,Mobile Money,6,6.24,3.78,0,Particulier,V009,37.44,14.760000000000002
7716,2024-01-03,MAT,Kawa Market – Matete,CAFÉ & THÉ,Thé noir sachets,Carte,9,6.68,4.15,5,,V018,60.12,22.769999999999996
5798,2024-01-03,MAT,Kawa Market – Matete,HYGIENE,Dentifrice 100ml,Mobile Money,6,1.61,0.89,,,V028,9.66,4.32
6266,2024-01-03,MAT,Kawa Market – Matete,AUTRES,Pile AA (pack 4),Mobile Money,8,1.12,0.72,0,,V007,8.96,3.200000000000001
3964,2024-01-03,GOM,Kawa Market – Gombe,HYGIENE,Dentifrice 100ml,Carte,11,1.51,0.76,5,Corporate,V029,16.61,8.25
5311,2024-01-03,GOM,Kawa Market – Gombe,BOISSONS,Boisson énergisante 33cl,Cash,12,1.86,1.36,0,Particulier,V004,22.32,6.0
2792,2024-01-03,MAS,Kawa Market – Masina,CAFÉ & THÉ,Café moulu 500g,Mobile Money,5,4.02,2.95,0,,V025,20.099999999999998,5.349999999999997
4969,2024-01-03,MAT,Kawa Market – Matete,EPICERIE,Huile végétale 1L,Carte,11,9.75,7.25,10,,V033,107.25,27.5
6100,2024-01-03,KIN,Kawa Market – Kintambo,HYGIENE,Dentifrice 100ml,Mobile Money,3,2.56,1.81,10,Particulier,V003,7.68,2.25
7321,2024-01-03,KIN,Kawa Market – Kintambo,FRAIS,Fromage local 200g,Mobile Money,7,1.05,0.71,0,Particulier,V038,7.3500000000000005,2.380000000000001
7304,2024-01-03,GOM,Kawa Market – Gombe,BOISSONS,"Eau 1,5L",Mobile Money,10,0.93,0.5,0,,V007,9.3,4.300000000000001
6885,2024-01-03,LIM,Kawa Market – Limete,EPICERIE,Riz 5kg,Mobile Money,12,9.03,6.13,5,,V007,108.35999999999999,34.8
883,2024-01-03,NGA,Kawa Market – Ngaliema,EPICERIE,Haricots 1kg,Mobile Money,6,9.34,5.8,0,Corporate,V039,56.04,21.240000000000002
6840,2024-01-04,MAS,Kawa Market – Masina,AUTRES,Sac réutilisable,Cash,10,2.61,1.75,0,,V032,26.099999999999998,8.599999999999998
563,2024-01-04,MAT,Kawa Market – Matete,CAFÉ & THÉ,Café moulu 500g,Cash,3,7.75,4.17,0,Corporate,V016,23.25,10.74
5842,2024-01-04,GOM,Kawa Market – Gombe,CAFÉ & THÉ,Thé citron 25 sachets,Cash,1,6.32,3.37,5,,V028,6.32,2.95
4200,2024-01-04,MAT,Kawa Market – Matete,FRAIS,Lait frais 1L,Carte,12,0.61,0.48,0,,V021,7.32,1.56
3796,2024-01-04,KIN,Kawa Market – Kintambo,FRAIS,Lait frais 1L,Mobile Money,12,1.67,1.0,10,,V017,20.04,8.04
6412,2024-01-04,GOM,Kawa Market – Gombe,BOISSONS,"Eau 1,5L",Autre,4,0.96,0.63,0,,V023,3.84,1.3199999999999998
361,2024-01-04,NGA,Kawa Market – Ngaliema,EPICERIE,Huile végétale 1L,Mobile Money,10,6.93,3.53,0,Corporate,V022,69.3,34.0
288,2024-01-04,NGA,Kawa Market – Ngaliema,BOISSONS,Jus naturel 1L,Mobile Money,2,0.73,0.51,0,,V035,1.46,0.43999999999999995
4778,2024-01-04,LIM,Kawa Market – Limete,EPICERIE,Sucre 1kg,Cash,7,3.89,1.99,10,,V025,27.23,13.3
5391,2024-01-04,NGA,Kawa Market – Ngaliema,CAFÉ & THÉ,Café Arabica 250g,Mobile Money,7,6.82,4.6,0,Corporate,V040,47.74,15.540000000000004
1424,2024-01-04,GOM,Kawa Market – Gombe,AUTRES,Pile AA (pack 4),Mobile Money,10,1.55,0.81,0,,V028,15.5,7.4
1034,2024-01-04,LIM,Kawa Market – Limete,FRAIS,Lait frais 1L,Cash,9,1.92,1.49,0,Particulier,V028,17.28,3.869999999999999
1037,2024-01-04,MAS,Kawa Market – Masina,CAFÉ & THÉ,Café moulu 500g,Carte,2,4.34,2.38,0,Corporate,V027,8.68,3.92
2124,2024-01-04,MAT,Kawa Market – Matete,CAFÉ & THÉ,Café Arabica 250g,Carte,7,7.16,5.17,,Particulier,V015,50.120000000000005,13.930000000000001
81,2024-01-04,LIM,Kawa Market – Limete,HYGIENE,Papier hygiénique 4 rouleaux,Mobile Money,3,3.09,2.45,0,Corporate,V025,9.27,1.919999999999999
4629,2024-01-04,LIM,Kawa Market – Limete,CAFÉ & THÉ,Café Arabica 250g,Cash,1,7.85,5.17,0,,V004,7.85,2.6799999999999997
7613,2024-01-04,LIM,Kawa Market – Limete,EPICERIE,Haricots 1kg,Cash,3,7.69,6.04,5,Corporate,V028,23.07,4.950000000000001
694,2024-01-05,NGA,Kawa Market – Ngaliema,BOISSONS,Boisson énergisante 33cl,Carte,9,1.95,1.34,,Corporate,V020,17.55,5.489999999999998
4293,2024-01-05,LIM,Kawa Market – Limete,EPICERIE,Huile végétale 1L,Cash,2,7.27,4.78,10,Corporate,V038,14.54,4.979999999999999
1389,2024-01-05,GOM,Kawa Market – Gombe,BOISSONS,"Eau 1,5L",Carte,9,1.55,0.82,0,,V005,13.950000000000001,6.570000000000001
339,2024-01-05,MAT,Kawa Market – Matete,AUTRES,Sac réutilisable,Carte,6,2.66,1.35,,,V015,15.96,7.86
1808,2024-01-05,MAT,Kawa Market – Matete,HYGIENE,Dentifrice 100ml,Carte,2,3.14,2.15,0,Particulier,V014,6.28,1.9800000000000004
5761,2024-01-05,MAS,Kawa Market – Masina,EPICERIE,Haricots 1kg,Cash,5,9.92,5.44,0,,V039,49.6,22.4
6795,2024-01-05,KIN,Kawa Market – Kintambo,BOISSONS,Jus naturel 1L,Cash,4,1.3,0.67,10,,V012,5.2,2.52
265,2024-01-05,NGA,Kawa Market – Ngaliema,EPICERIE,Sucre 1kg,Cash,10,9.35,5.36,0,,V025,93.5,39.89999999999999
7074,2024-01-05,MAS,Kawa Market – Masina,BOISSONS,Boisson énergisante 33cl,Carte,2,0.73,0.54,,Corporate,V010,1.46,0.3799999999999999
1743,2024-01-05,GOM,Kawa Market – Gombe,FRAIS,Yaourt 125g,Carte,12,1.21,0.92,0,,V013,14.52,3.479999999999999
2595,2024-01-05,NGA,Kawa Market – Ngaliema,AUTRES,Sac réutilisable,Carte,5,0.5,0.39,0,Corporate,V033,2.5,0.5499999999999999
6362,2024-01-05,LIM,Kawa Market – Limete,CAFÉ & THÉ,Thé citron 25 sachets,Cash,12,6.1,3.87,,,V006,73.19999999999999,26.759999999999994
1318,2024-01-05,NGA,Kawa Market – Ngaliema,EPICERIE,Haricots 1kg,Carte,1,5.56,3.83,0,,V028,5.56,1.7299999999999995
3078,2024-01-05,MAT,Kawa Market – Matete,HYGIENE,Papier hygiénique 4 rouleaux,Mobile Money,2,0.89,0.58,0,Particulier,V002,1.78,0.6200000000000001
1729,2024-01-05,KIN,Kawa Market – Kintambo,HYGIENE,Papier hygiénique 4 rouleaux,Carte,2,2.77,1.97,0,,V039,5.54,1.6
4552,2024-01-05,MAS,Kawa Market – Masina,HYGIENE,Dentifrice 100ml,Cash,4,3.55,2.64,0,Particulier,V035,14.2,3.639999999999999
7976,2024-01-05,MAS,Kawa Market – Masina,BOISSONS,Boisson énergisante 33cl,Cash,11,1.65,1.1,10,Particulier,V039,18.15,6.049999999999998
1210,2024-01-06,MAT,Kawa Market – Matete,AUTRES,Pile AA (pack 4),Cash,2,1.34,1.02,0,,V038,2.68,0.6400000000000001
4704,2024-01-06,MAT,Kawa Market – Matete,BOISSONS,Boisson énergisante 33cl,Cash,7,1.27,0.97,0,,V019,8.89,2.1000000000000005
603,2024-01-06,NGA,Kawa Market – Ngaliema,HYGIENE,Papier hygiénique 4 rouleaux,Cash,8,2.3,1.84,10,,V026,18.4,3.679999999999998
7397,2024-01-06,KIN,Kawa Market – Kintambo,AUTRES,Sac réutilisable,Mobile Money,3,2.03,1.21,0,Corporate,V027,6.09,2.4599999999999995
1043,2024-01-06,NGA,Kawa Market – Ngaliema,AUTRES,Pile AA (pack 4),Carte,2,1.31,0.95,,Particulier,V006,2.62,0.7200000000000002
2119,2024-01-06,GOM,Kawa Market – Gombe,CAFÉ & THÉ,Café moulu 500g,Mobile Money,8,4.38,2.9,0,Particulier,V025,35.04,11.84
2472,2024-01-06,LIM,Kawa Market – Limete,AUTRES,Sac réutilisable,Carte,12,0.93,0.65,0,Particulier,V015,11.16,3.3600000000000003
3698,2024-01-06,MAT,Kawa Market – Matete,FRAIS,Fromage local 200g,Carte,1,2.85,2.25,5,Particulier,V016,2.85,0.6000000000000001
5646,2024-01-06,LIM,Kawa Market – Limete,EPICERIE,Huile végétale 1L,Mobile Money,8,2.51,1.75,0,,V013,20.08,6.079999999999998
1920,2024-01-07,GOM,Kawa Market – Gombe,FRAIS,Lait frais 1L,Mobile Money,12,1.81,0.97,0,Corporate,V038,21.72,10.080000000000002
3438,2024-01-07,MAS,Kawa Market – Masina,FRAIS,Yaourt 125g,Cash,3,1.74,1.01,0,,V027,5.22,2.19
4413,2024-01-07,MAS,Kawa Market – Masina,BOISSONS,Soda 50cl,Cash,10,1.54,0.95,10,Particulier,V007,15.4,5.9
6258,2024-01-07,KIN,Kawa Market – Kintambo,CAFÉ & THÉ,Café moulu 500g,Mobile Money,6,5.51,3.94,5,,V012,33.06,9.419999999999998
7517,2024-01-07,MAT,Kawa Market – Matete,BOISSONS,Soda 50cl,Carte,6,1.6,0.98,0,,V016,9.600000000000001,3.7200000000000006
7481,2024-01-07,KIN,Kawa Market – Kintambo,HYGIENE,Dentifrice 100ml,Cash,8,3.98,2.02,0,,V022,31.84,15.68
2513,2024-01-08,LIM,Kawa Market – Limete,AUTRES,Sac réutilisable,Mobile Money,1,1.79,1.33,,,V019,1.79,0.45999999999999996
7955,2024-01-08,NGA,Kawa Market – Ngaliema,AUTRES,Sac réutilisable,Mobile Money,7,2.68,1.86,10,,V030,18.76,5.74
4952,2024-01-08,NGA,Kawa Market – Ngaliema,FRAIS,Lait frais 1L,Carte,2,2.87,1.71,,,V038,5.74,2.3200000000000003
2363,2024-01-08,GOM,Kawa Market – Gombe,AUTRES,Sac réutilisable,Mobile Money,10,2.39,1.8,0,,V011,23.900000000000002,5.9
2395,2024-01-08,NGA,Kawa Market – Ngaliema,CAFÉ & THÉ,Café Arabica 250g,Carte,11,7.99,5.79,5,,V022,87.89,24.200000000000003
4214,2024-01-08,LIM,Kawa Market – Limete,AUTRES,Pile AA (pack 4),Carte,10,1.54,0.94,0,,V023,15.4,6.000000000000001
6444,2024-01-08,LIM,Kawa Market – Limete,BOISSONS,Jus naturel 1L,Carte,4,1.59,1.07,5,,V023,6.36,2.08
7306,2024-01-08,NGA,Kawa Market – Ngaliema,BOISSONS,Jus naturel 1L,Mobile Money,2,0.92,0.49,0,,V038,1.84,0.8600000000000001
1441,2024-01-08,LIM,Kawa Market – Limete,HYGIENE,Dentifrice 100ml,Carte,10,1.21,0.77,10,Particulier,V038,12.1,4.3999999999999995
3876,2024-01-08,LIM,Kawa Market – Limete,CAFÉ & THÉ,Thé noir sachets,Mobile Money,1,7.56,5.66,10,,V022,7.56,1.8999999999999995
6193,2024-01-08,MAT,Kawa Market – Matete,HYGIENE,Papier hygiénique 4 rouleaux,Carte,11,3.96,2.05,10,,V005,43.56,21.01
1472,2024-01-08,LIM,Kawa Market – Limete,HYGIENE,Papier hygiénique 4 rouleaux,Cash,10,0.78,0.62,10,Corporate,V032,7.800000000000001,1.6000000000000003
5823,2024-01-08,NGA,Kawa Market – Ngaliema,BOISSONS,Jus naturel 1L,Cash,5,1.84,1.05,0,,V018,9.200000000000001,3.95
4086,2024-01-08,MAS,Kawa Market – Masina,CAFÉ & THÉ,Café Arabica 250g,Carte,12,4.9,3.53,0,,V011,58.800000000000004,16.440000000000005
3827,2024-01-08,LIM,Kawa Market – Limete,AUTRES,Sac réutilisable,Mobile Money,12,1.72,0.87,,,V011,20.64,10.2
2716,2024-01-08,MAS,Kawa Market – Masina,HYGIENE,Savon de toilette,Cash,3,3.32,2.05,0,,V020,9.959999999999999,3.81
1255,2024-01-08,GOM,Kawa Market – Gombe,BOISSONS,Boisson énergisante 33cl,Cash,11,1.77,1.32,10,Corporate,V036,19.47,4.949999999999999
556,2024-01-08,LIM,Kawa Market – Limete,AUTRES,Pile AA (pack 4),Cash,11,0.92,0.51,5,Particulier,V021,10.120000000000001,4.510000000000001
6459,2024-01-08,MAT,Kawa Market – Matete,EPICERIE,Sucre 1kg,Cash,7,6.57,3.53,0,Particulier,V027,45.99,21.280000000000005
1922,2024-01-08,LIM,Kawa Market – Limete,EPICERIE,Haricots 1kg,Mobile Money,9,8.69,4.84,0,Corporate,V030,78.21,34.65
1989,2024-01-08,MAS,Kawa Market – Masina,CAFÉ & THÉ,Thé citron 25 sachets,Carte,2,7.62,4.2,0,Corporate,V002,15.24,6.84
4130,2024-01-08,GOM,Kawa Market – Gombe,CAFÉ & THÉ,Thé noir sachets,Mobile Money,2,6.78,3.41,,,V039,13.56,6.74
347,2024-01-08,MAT,Kawa Market – Matete,BOISSONS,Soda 50cl,Cash,3,1.89,1.5,10,,V021,5.67,1.1699999999999997
1130,2024-01-09,LIM,Kawa Market – Limete,FRAIS,Yaourt 125g,Cash,4,1.5,0.91,0,,V025,6.0,2.36
1684,2024-01-09,GOM,Kawa Market – Gombe,HYGIENE,Savon de toilette,Carte,5,1.23,0.67,0,,V013,6.15,2.8
4658,2024-01-09,GOM,Kawa Market – Gombe,HYGIENE,Savon de toilette,Mobile Money,8,1.31,0.82,0,Corporate,V016,10.48,3.920000000000001
7332,2024-01-09,NGA,Kawa Market – Ngaliema,HYGIENE,Savon de toilette,Carte,7,3.82,2.58,0,Particulier,V014,26.74,8.679999999999998
6503,2024-01-09,LIM,Kawa Market – Limete,FRAIS,Fromage local 200g,Mobile Money,2,2.28,1.27,5,Particulier,V025,4.56,2.0199999999999996
1288,2024-01-09,MAT,Kawa Market – Matete,AUTRES,Pile AA (pack 4),Cash,3,1.23,0.94,0,,V027,3.69,0.8700000000000001
7424,2024-01-09,MAS,Kawa Market – Masina,EPICERIE,Riz 5kg,Cash,9,2.84,1.68,0,,V010,25.56,10.44
1072,2024-01-09,GOM,Kawa Market – Gombe,EPICERIE,Sucre 1kg,Carte,3,9.22,6.18,5,,V002,27.660000000000004,9.120000000000003
1420,2024-01-09,MAT,Kawa Market – Matete,EPICERIE,Riz 5kg,Mobile Money,6,7.65,5.37,5,Particulier,V011,45.900000000000006,13.680000000000001
7610,2024-01-09,KIN,Kawa Market – Kintambo,EPICERIE,Sucre 1kg,Mobile Money,6,3.72,2.21,5,Corporate,V024,22.32,9.060000000000002
7090,2024-01-09,MAS,Kawa Market – Masina,FRAIS,Fromage local 200g,Mobile Money,7,2.63,2.05,10,,V023,18.41,4.0600000000000005
3881,2024-01-09,GOM,Kawa Market – Gombe,AUTRES,Sac réutilisable,Carte,9,0.8,0.56,0,Corporate,V022,7.2,2.16
3537,2024-01-09,MAS,Kawa Market – Masina,CAFÉ & THÉ,Thé noir sachets,Mobile Money,12,4.0,3.0,5,,V003,48.0,12.0
102,2024-01-09,GOM,Kawa Market – Gombe,EPICERIE,Haricots 1kg,Carte,11,2.83,1.91,0,Corporate,V003,31.130000000000003,10.120000000000001
4760,2024-01-10,KIN,Kawa Market – Kintambo,EPICERIE,Haricots 1kg,Carte,1,9.23,5.79,0,Corporate,V032,9.23,3.4400000000000004
6866,2024-01-10,KIN,Kawa Market – Kintambo,BOISSONS,Boisson énergisante 33cl,Cash,11,1.96,1.35,0,Corporate,V016,21.56,6.709999999999999
5164,2024-01-10,MAS,Kawa Market – Masina,AUTRES,Sac réutilisable,Cash,5,2.1,1.39,5,Particulier,V022,10.5,3.5500000000000007
4730,2024-01-10,MAS,Kawa Market – Masina,EPICERIE,Sucre 1kg,Cash,2,4.05,2.74,0,Corporate,V012,8.1,2.619999999999999
2565,2024-01-10,KIN,Kawa Market – Kintambo,HYGIENE,Papier hygiénique 4 rouleaux,Carte,6,3.48,2.69,10,Particulier,V035,20.88,4.74
1390,2024-01-10,NGA,Kawa Market – Ngaliema,FRAIS,Yaourt 125g,Cash,8,1.96,1.11,0,,V027,15.68,6.799999999999999
3886,2024-01-10,MAT,Kawa Market – Matete,FRAIS,Yaourt 125g,Carte,7,2.04,1.08,0,Corporate,V008,14.280000000000001,6.72
4253,2024-01-10,GOM,Kawa Market – Gombe,EPICERIE,Huile végétale 1L,Carte,10,6.35,4.52,10,Particulier,V019,63.5,18.3
7992,2024-01-10,LIM,Kawa Market – Limete,HYGIENE,Dentifrice 100ml,Mobile Money,6,2.91,2.01,0,,V009,17.46,5.400000000000002
1296,2024-01-10,KIN,Kawa Market – Kintambo,HYGIENE,Dentifrice 100ml,Carte,10,3.73,1.88,5,Particulier,V011,37.3,18.5
1430,2024-01-10,GOM,Kawa Market – Gombe,FRAIS,Yaourt 125g,Mobile Money,6,2.18,1.71,0,Corporate,V014,13.080000000000002,2.820000000000001
5107,2024-01-10,KIN,Kawa Market – Kintambo,HYGIENE,Savon de toilette,Cash,1,1.88,0.95,10,,V026,1.88,0.9299999999999999
2745,2024-01-10,LIM,Kawa Market – Limete,FRAIS,Lait frais 1L,Cash,7,1.89,1.35,0,,V007,13.229999999999999,3.7799999999999985
5537,2024-01-10,KIN,Kawa Market – Kintambo,FRAIS,Fromage local 200g,Cash,9,1.73,1.11,5,,V013,15.57,5.579999999999999
3389,2024-01-10,LIM,Kawa Market – Limete,BOISSONS,Boisson énergisante 33cl,Mobile Money,11,0.84,0.43,0,Corporate,V017,9.24,4.51
1385,2024-01-10,NGA,Kawa Market – Ngaliema,EPICERIE,Riz 5kg,Cash,4,4.59,2.62,5,,V002,18.36,7.879999999999999
1510,2024-01-10,LIM,Kawa Market – Limete,HYGIENE,Dentifrice 100ml,Carte,8,2.17,1.26,,,V019,17.36,7.279999999999999
2532,2024-01-10,MAT,Kawa Market – Matete,HYGIENE,Papier hygiénique 4 rouleaux,Mobile Money,8,1.81,1.28,5,,V036,14.48,4.24
6678,2024-01-11,GOM,Kawa Market – Gombe,BOISSONS,Jus naturel 1L,Cash,5,1.29,0.83,10,,V013,6.45,2.3000000000000003
6697,2024-01-11,LIM,Kawa Market – Limete,AUTRES,Pile AA (pack 4),Cash,7,1.89,0.96,5,,V011,13.229999999999999,6.51
1932,2024-01-11,MAS,Kawa Market – Masina,FRAIS,Lait frais 1L,Autre,8,1.96,1.5,5,,V033,15.68,3.6799999999999997
2833,2024-01-11,LIM,Kawa Market – Limete,FRAIS,Fromage local 200g,Mobile Money,11,1.99,1.33,10,,V004,21.89,7.259999999999999
3026,2024-01-11,KIN,Kawa Market – Kintambo,AUTRES,Pile AA (pack 4),Mobile Money,1,0.7,0.54,0,Corporate,V021,0.7,0.15999999999999992
7024,2024-01-11,NGA,Kawa Market – Ngaliema,EPICERIE,Riz 5kg,Carte,9,9.09,5.5,5,Corporate,V026,81.81,32.31
3933,2024-01-11,KIN,Kawa Market – Kintambo,HYGIENE,Papier hygiénique 4 rouleaux,Carte,2,2.43,1.31,5,Particulier,V004,4.86,2.24
519,2024-01-11,NGA,Kawa Market – Ngaliema,AUTRES,Sac réutilisable,Cash,10,2.06,1.53,0,Corporate,V032,20.6,5.300000000000001
2549,2024-01-11,GOM,Kawa Market – Gombe,BOISSONS,Jus naturel 1L,Mobile Money,1,0.94,0.53,0,,V026,0.94,0.4099999999999999
6567,2024-01-11,NGA,Kawa Market – Ngaliema,FRAIS,Lait frais 1L,Cash,10,1.99,1.45,0,Particulier,V018,19.9,5.4
3806,2024-01-11,MAS,Kawa Market – Masina,BOISSONS,Soda 50cl,Cash,1,1.38,0.71,10,,V017,1.38,0.6699999999999999
973,2024-01-11,MAT,Kawa Market – Matete,AUTRES,Sac réutilisable,Mobile Money,7,1.14,0.65,0,,V031,7.9799999999999995,3.4299999999999993
477,2024-01-11,LIM,Kawa Market – Limete,FRAIS,Lait frais 1L,Mobile Money,11,0.8,0.47,5,,V039,8.8,3.630000000000001
7906,2024-01-11,NGA,Kawa Market – Ngaliema,AUTRES,Sac réutilisable,Mobile Money,4,2.25,1.61,,Particulier,V022,9.0,2.5599999999999996
6049,2024-01-11,LIM,Kawa Market – Limete,EPICERIE,Haricots 1kg,Cash,2,9.52,4.8,10,Corporate,V024,19.04,9.44
3307,2024-01-11,MAT,Kawa Market – Matete,FRAIS,Lait frais 1L,Cash,11,2.65,1.5,5,,V022,29.15,12.649999999999999
